scen,Pothole,rankm,Drainage,Tillage,lulc.pothole,lulc.field,capa.ratio,max.h2oshed.relief,max.flow.path,max.depth,catm3,catm6
Drain3RetiredNT,mouth,0.806897893,high,notill,R,CS,10.2,5.624,350.3,0.4,c,f
NoTill,mouth,3.596068353,none,notill,R,CS,10.2,5.624,350.3,0.4,b,c
NoTillRetired,mouth,3.596068353,none,notill,R,CS,10.2,5.624,350.3,0.4,b,c
PlantDate1,mouth,4.582416827,none,conventional,R,CS,10.2,5.624,350.3,0.4,b,c
PlantDate2,mouth,4.904161203,none,conventional,R,CS,10.2,5.624,350.3,0.4,b,c
PlantDate3,mouth,4.99656891,none,conventional,R,CS,10.2,5.624,350.3,0.4,b,c
PlantDate4,mouth,5.072232408,none,conventional,R,CS,10.2,5.624,350.3,0.4,b,c
RetiredAll,mouth,1.343731158,none,N/A,R,R,10.2,5.624,350.3,0.4,c,e
RetiredPothole,mouth,4.890760252,none,conventional,R,CS,10.2,5.624,350.3,0.4,b,c
Base,walnut,0.577210361,medium,conventional,CS,CS,3.7,4.43,297.7,0.7,c,f
BaseRetired,walnut,0.594813728,medium,conventional,R,CS,3.7,4.43,297.7,0.7,c,f
BaseRetiredCT,walnut,0.531825774,medium,contill,CS,CS,3.7,4.43,297.7,0.7,c,f
BaseRetiredNT,walnut,0.382505589,medium,notill,R,CS,3.7,4.43,297.7,0.7,c,f
ConTill,walnut,0.551841731,medium,contill,CS,CS,3.7,4.43,297.7,0.7,c,f
ConTillDrain1,walnut,0.890798147,low,contill,CS,CS,3.7,4.43,297.7,0.7,c,f
ConTillDrain2,walnut,0.551841731,medium,contill,CS,CS,3.7,4.43,297.7,0.7,c,f
ConTillDrain3,walnut,0.297174688,high,contill,CS,CS,3.7,4.43,297.7,0.7,c,f
ConTillRetired,walnut,1.903590808,none,contill,R,CS,3.7,4.43,297.7,0.7,c,e
CoverCrop,walnut,0.509958381,medium,notill,CS,CS,3.7,4.43,297.7,0.7,c,f
Drain0,walnut,2.634807455,none,conventional,CS,CS,3.7,4.43,297.7,0.7,b,d
Drain1,walnut,0.92201597,low,conventional,CS,CS,3.7,4.43,297.7,0.7,c,f
Drain2,walnut,0.577210361,medium,conventional,CS,CS,3.7,4.43,297.7,0.7,c,f
Drain3,walnut,0.360889149,high,conventional,CS,CS,3.7,4.43,297.7,0.7,c,f
Drain0CT,walnut,2.180834929,none,contill,CS,CS,3.7,4.43,297.7,0.7,b,d
Drain0NT,walnut,1.675956893,none,notill,CS,CS,3.7,4.43,297.7,0.7,c,e
Drain1NT,walnut,0.749211591,low,notill,CS,CS,3.7,4.43,297.7,0.7,c,f
Drain1Retired,walnut,0.819540591,low,conventional,R,CS,3.7,4.43,297.7,0.7,c,f
Drain1RetiredAll,walnut,0.310133185,low,N/A,R,CS,3.7,4.43,297.7,0.7,c,f
Drain1RetiredCT,walnut,0.791006366,low,contill,R,CS,3.7,4.43,297.7,0.7,c,f
Drain1RetiredNT,walnut,0.659407856,low,notill,R,CS,3.7,4.43,297.7,0.7,c,f
Drain2NT,walnut,0.438552449,medium,notill,CS,CS,3.7,4.43,297.7,0.7,c,f
Drain2Retired,walnut,0.594813728,medium,conventional,R,CS,3.7,4.43,297.7,0.7,c,f
Drain2RetiredAll,walnut,0.190533221,medium,N/A,R,CS,3.7,4.43,297.7,0.7,c,f
Drain2RetiredCT,walnut,0.531825774,medium,contill,R,CS,3.7,4.43,297.7,0.7,c,f
Drain2RetiredNT,walnut,0.382505589,medium,notill,R,CS,3.7,4.43,297.7,0.7,c,f
Drain3NT,walnut,0.247571343,high,notill,CS,CS,3.7,4.43,297.7,0.7,c,f
Drain3Retired,walnut,0.336462721,high,conventional,R,CS,3.7,4.43,297.7,0.7,c,f
Drain3RetiredAll,walnut,0.109854976,high,N/A,R,CS,3.7,4.43,297.7,0.7,c,f
Drain3RetiredCT,walnut,0.264907163,high,contill,R,CS,3.7,4.43,297.7,0.7,c,f
Drain3RetiredNT,walnut,0.214597698,high,notill,R,CS,3.7,4.43,297.7,0.7,c,f
NoTill,walnut,0.438552449,medium,notill,CS,CS,3.7,4.43,297.7,0.7,c,f
NoTillRetired,walnut,1.46910169,none,notill,R,CS,3.7,4.43,297.7,0.7,c,e
PlantDate1,walnut,0.576826304,medium,conventional,CS,CS,3.7,4.43,297.7,0.7,c,f
PlantDate2,walnut,0.655443901,medium,conventional,CS,CS,3.7,4.43,297.7,0.7,c,f
PlantDate3,walnut,0.647599059,medium,conventional,CS,CS,3.7,4.43,297.7,0.7,c,f
PlantDate4,walnut,0.595208327,medium,conventional,CS,CS,3.7,4.43,297.7,0.7,c,f
RetiredAll,walnut,0.578306232,none,N/A,R,R,3.7,4.43,297.7,0.7,c,f
RetiredPothole,walnut,2.299512355,none,conventional,R,CS,3.7,4.43,297.7,0.7,b,d
